2, 6, 512, 16, 2, 1, 1.0, 0.8, 295.3, 136.11249024244617, 1543.4, 288.95093009021446,  11, 0
4, 6, 512, 16, 2, 1, 1.0, 0.8, 202.9, 13.17915020022156, 1131.5, 89.04858224587295,  11, 0
6, 6, 512, 16, 2, 1, 1.0, 0.8, 201.9, 7.327346040688948, 1098.3, 48.983772823252394,  11, 0
8, 6, 512, 16, 2, 1, 1.0, 0.8, 199.3, 8.71837140755084, 1028.3, 44.3532411442501,  11, 0
10, 6, 512, 16, 2, 1, 1.0, 0.8, 209.6, 9.090654541890808, 1034.5, 46.1351276144328,  11, 0
12, 6, 512, 16, 2, 1, 1.0, 0.8, 214.0, 9.465727652959385, 998.7, 23.14757006685583,  11, 0
14, 6, 512, 16, 2, 1, 1.0, 0.8, 230.9, 12.202049008260866, 1016.0, 36.49383509580762,  11, 0
16, 6, 512, 16, 2, 1, 1.0, 0.8, 298.7, 81.5806962461096, 1002.2, 35.04226020107721,  11, 0
2, 6, 1024, 16, 2, 1, 1.0, 0.8, 1044.0, 111.47376372940855, 3231.5, 411.67906189166337,  9, 2
4, 6, 1024, 16, 2, 1, 1.0, 0.8, 818.0, 22.126906697502932, 2339.1, 86.34517936746671,  11, 0
6, 6, 1024, 16, 2, 1, 1.0, 0.8, 945.6, 228.6867726826368, 2178.8, 79.95848923035001,  11, 0
8, 6, 1024, 16, 2, 1, 1.0, 0.8, 1103.1, 309.17064867157103, 2141.2, 104.37126041205022,  11, 0
10, 6, 1024, 16, 2, 1, 1.0, 0.8, 829.5, 32.47537528651517, 2128.4, 92.69433639656741,  11, 0
12, 6, 1024, 16, 2, 1, 1.0, 0.8, 843.8, 13.098091464026352, 2012.5, 43.543656254384516,  11, 0
14, 6, 1024, 16, 2, 1, 1.0, 0.8, 916.6, 27.357631476427194, 2070.5, 45.72362627788833,  11, 0
16, 6, 1024, 16, 2, 1, 1.0, 0.8, 1042.6, 29.223962770302045, 2064.5, 42.568180604766276,  11, 0
